Sorghum bicolor	Brachypodium distachyon	Oryza sativa	Panicum virgatum	Setaria italica	Zea mays	
Sobic.001G000100	Bradi2g42460		Pavir.4KG278600, Pavir.4KG276600	Seita.9G000900	GRMZM2G007948
Sobic.004G036500	Bradi3g03538	LOC_Os02g04640	Pavir.1NG028800, Pavir.1KG042900	Seita.1G092500	GRMZM2G010920
Sobic.004G036600	Bradi3g03532	LOC_Os02g04650	Pavir.1KG043200	Seita.1G092400	GRMZM2G010944
Sobic.004G036700	Bradi3g03526	LOC_Os02g04660	Pavir.1KG043300	Seita.1G092100	GRMZM2G169927, GRMZM2G011456
Sobic.004G036800	Bradi3g03520	LOC_Os02g04670	Pavir.1NG028500, Pavir.1KG043500	Seita.1G092000	GRMZM2G097207
Sobic.004G036900	Bradi3g03510	LOC_Os02g04680	Pavir.1NG028400, Pavir.1KG043600	Seita.1G091900	GRMZM2G097275
Sobic.004G037000		LOC_Os02g04700	Pavir.1KG044000	Seita.1G091800	
Sobic.004G037100			Pavir.1NG028200, Pavir.1KG043800	Seita.1G091700	GRMZM2G065494
Sobic.004G037200			Pavir.1NG028200, Pavir.1KG043800	Seita.1G091700	GRMZM2G023798
Sobic.004G037300	Bradi3g03475	LOC_Os02g04730, LOC_Os02g04750	Pavir.1KG043900		
Sobic.004G037401	Bradi3g03471, Bradi3g17509		Pavir.8KG194900	Seita.5G160600	GRMZM2G067042
Sobic.004G037500		LOC_Os04g01940	Pavir.9KG582700	Seita.9G546000	
Sobic.004G037600	Bradi4g28940	LOC_Os02g04740	Pavir.1KG044400, Pavir.1NG027500	Seita.1G091100	GRMZM2G165966
Sobic.004G037700	Bradi3g03420	LOC_Os02g04800	Pavir.1NG027400, Pavir.1KG044500	Seita.1G091000	GRMZM2G102912
Sobic.004G037800	Bradi3g03407	LOC_Os02g04810	Pavir.1NG027300, Pavir.1KG044600	Seita.1G090900	GRMZM2G102845
Sobic.004G037900	Bradi3g03620	LOC_Os02g04840	Pavir.1NG027200, Pavir.1KG045000	Seita.1G090800	GRMZM2G165931
Sobic.004G038000	Bradi3g03627	LOC_Os02g04860	Pavir.1KG045100, Pavir.1NG027100	Seita.1G090700	GRMZM2G117459
Sobic.004G038100	Bradi3g03637	LOC_Os02g04970	Pavir.1NG026700	Seita.1G090600	GRMZM2G322493
Sobic.004G038200					
Sobic.004G038300	Bradi3g03475	LOC_Os02g04730, LOC_Os02g04750	Pavir.4NG080400	Seita.2G064700, Seita.4G270100	GRMZM2G468929, GRMZM2G305148
Sobic.004G038400			Pavir.3NG127400, Pavir.9KG059900, Pavir.9KG077500, Pavir.3KG498800, Pavir.6KG388500	Seita.6G255700, Seita.5G247600	
Sobic.004G038500	Bradi3g03650	LOC_Os02g05040	Pavir.1KG045300, Pavir.1NG026400	Seita.1G090500	GRMZM2G410357
Sobic.004G038600	Bradi5g03474, Bradi5g17246, Bradi3g03660	LOC_Os02g05050	Pavir.1NG026300, Pavir.1KG045400	Seita.1G090400	
Sobic.004G038700	Bradi3g03670	LOC_Os02g05060	Pavir.1KG045500, Pavir.1NG025800	Seita.1G090300	AC196708.3_FGP006
Sobic.004G038800	Bradi5g07810, Bradi4g23565, Bradi4g23585		Pavir.1KG440000		
Sobic.004G038850					
Sobic.004G038900			Pavir.J262600		
Sobic.004G039000					
Sobic.004G039100					
Sobic.004G039200		LOC_Os02g05310	Pavir.1KG045700, Pavir.1KG415600	Seita.1G090100	GRMZM2G117346, GRMZM2G410393
Sobic.004G039300	Bradi3g03700	LOC_Os02g05320	Pavir.1KG045800, Pavir.1NG025400	Seita.1G090000	GRMZM2G133048
Sobic.004G039400		LOC_Os02g05330	Pavir.1KG045900, Pavir.1NG025300	Seita.1G089900	
Sobic.004G039500			Pavir.1KG046000	Seita.1G089800	
Sobic.004G039600	Bradi3g03720	LOC_Os06g48640, LOC_Os09g15750, LOC_Os02g05340	Pavir.1NG021500, Pavir.1NG025100	Seita.7G152200, Seita.1G089700	GRMZM2G155384
Sobic.004G039700	Bradi5g07810, Bradi4g23565, Bradi4g23585		Pavir.1KG440000		
Sobic.004G039800					
Sobic.004G039900	Bradi3g03740	LOC_Os02g05440	Pavir.1NG025000, Pavir.1KG046100	Seita.1G089600	GRMZM2G063942
Sobic.004G040000	Bradi3g03747	LOC_Os02g05450	Pavir.1NG024800, Pavir.1KG046200		GRMZM2G033138
Sobic.004G040050					
Sobic.004G040100	Bradi3g03770	LOC_Os02g05470	Pavir.1KG046300, Pavir.1NG024700		GRMZM2G062885, GRMZM2G155370
Sobic.004G040200	Bradi3g03780	LOC_Os02g05480	Pavir.1KG046500, Pavir.1NG024500	Seita.1G089400	GRMZM2G062914
Sobic.004G040300					
Sobic.004G040350					
Sobic.004G040400	Bradi1g21846, Bradi1g07686, Bradi4g26255				
Sobic.004G040500	Bradi3g03790	LOC_Os02g05490	Pavir.1NG024200, Pavir.1KG046700	Seita.1G089300	GRMZM2G024612
Sobic.004G040600		LOC_Os02g05500	Pavir.1KG046800	Seita.1G089200	GRMZM2G031850
Sobic.004G040700	Bradi3g03831	LOC_Os02g05520	Pavir.1KG046900	Seita.1G089100	GRMZM2G067350
Sobic.004G040800	Bradi3g03840	LOC_Os02g05610	Pavir.J001500	Seita.1G089000	
Sobic.004G040900	Bradi3g03850	LOC_Os06g48355, LOC_Os09g15770, LOC_Os09g15775, LOC_Os06g48350	Pavir.1NG024100, Pavir.1NG021400	Seita.1G088900	GRMZM2G165917
Sobic.004G041000	Bradi1g43866, Bradi1g43871		Pavir.J393500, Pavir.4KG204500	Seita.9G423000, Seita.4G118300	GRMZM2G367431
Sobic.004G041100	Bradi3g03860	LOC_Os02g05620	Pavir.1NG024000	Seita.1G088800	GRMZM2G067313, GRMZM2G166032
Sobic.004G041200	Bradi1g37520	LOC_Os06g37430	Pavir.4NG215400, Pavir.8NG172100	Seita.9G175600	GRMZM2G143688, GRMZM2G038667
Sobic.004G041300	Bradi3g11042	LOC_Os07g36520		Seita.2G345100	
Sobic.004G041500	Bradi3g03870	LOC_Os02g05630	Pavir.1NG023600, Pavir.1KG047100	Seita.8G051200, Seita.1G088700	GRMZM5G829894, GRMZM2G166035
Sobic.004G041600	Bradi3g03970	LOC_Os02g05640	Pavir.1KG047300, Pavir.1NG023300	Seita.1G087900, Seita.1G088000	GRMZM2G166041
Sobic.004G041700			Pavir.9KG640800, Pavir.1NG023200	Seita.1G087800	AC233959.1_FGP003
Sobic.004G041800	Bradi3g04000	LOC_Os11g25440, LOC_Os02g05670	Pavir.1NG023000, Pavir.1KG047600	Seita.1G087600	AC233959.1_FGP006, GRMZM2G166044
Sobic.004G041900					
Sobic.004G042000	Bradi3g04010	LOC_Os02g05680	Pavir.1NG022900	Seita.1G087500	GRMZM2G166145
Sobic.004G042100	Bradi3g04020	LOC_Os02g05692	Pavir.1KG048100	Seita.1G087400	GRMZM2G392320
Sobic.004G042200	Bradi3g04040	LOC_Os02g05700	Pavir.1NG022700, Pavir.1KG048200	Seita.1G087300	GRMZM2G147800
Sobic.004G042300	Bradi3g04050	LOC_Os02g05710	Pavir.1KG048300, Pavir.1NG022600	Seita.1G087200	
Sobic.004G042400	Bradi1g62646, Bradi5g27081, Bradi4g32548, Bradi5g17145, Bradi2g05924, Bradi3g50635, Bradi2g33250, Bradi3g33485, Bradi3g15010, Bradi2g36750, Bradi4g43341	LOC_Os10g33030, LOC_Os07g02500, LOC_Os03g44130, LOC_Os09g03570	Pavir.5KG503400		GRMZM2G548718
Sobic.004G042501	Bradi3g56941		Pavir.1KG498700, Pavir.1NG406800	Seita.2G053600, Seita.1G309300	AC203365.3_FGP004
Sobic.004G042600	Bradi3g04061	LOC_Os02g05730	Pavir.1NG022400, Pavir.1KG048500, Pavir.1NG022500	Seita.1G087000, Seita.1G087100	GRMZM2G093490
Sobic.004G042700	Bradi3g04080	LOC_Os02g05744	Pavir.1NG022300, Pavir.1KG048600	Seita.1G086900	GRMZM2G482256
Sobic.004G042800	Bradi3g04100	LOC_Os02g05820	Pavir.1KG048700, Pavir.1NG022200	Seita.1G086800	GRMZM2G467703
Sobic.004G042900	Bradi3g04140	LOC_Os02g05840	Pavir.1KG048900, Pavir.1NG022000	Seita.1G086600	GRMZM2G425774, GRMZM2G166162
Sobic.004G043001			Pavir.1NG042100		GRMZM2G391148
Sobic.004G043101					
Sobic.004G043200				Seita.1G086500	
Sobic.004G043301	Bradi4g44211		Pavir.8KG048300	Seita.8G035700, Seita.8G035500, Seita.8G035300	AC203257.2_FGP003, AC200112.4_FGP007, GRMZM2G014150, GRMZM2G089238, GRMZM2G110409, GRMZM2G111622, AC205251.3_FGP002
Sobic.004G043400		LOC_Os06g42890	Pavir.5KG238900, Pavir.5KG113600, Pavir.6NG014400, Pavir.9NG287000, Pavir.9KG052200, Pavir.5KG624400, Pavir.8KG357000, Pavir.2NG557100, Pavir.7NG099800, Pavir.7NG300200, Pavir.9NG402300, Pavir.4NG107400, Pavir.9KG414400		
Sobic.004G043500	Bradi4g26096			Seita.8G035400	AC200112.4_FGP008, GRMZM2G123531, GRMZM2G474774
Sobic.004G043600	Bradi3g04147	LOC_Os02g05870	Pavir.1KG051000, Pavir.1NG021800	Seita.1G086200	GRMZM2G153899
Sobic.004G043750	Bradi4g45065	LOC_Os02g05880	Pavir.1NG021700, Pavir.1KG051300	Seita.1G086100	GRMZM5G851807
Sobic.004G043900					
Sobic.004G044000	Bradi3g04154	LOC_Os02g05890	Pavir.1KG051400, Pavir.1NG021600	Seita.1G086000	GRMZM2G153745
Sobic.004G044100	Bradi3g04170	LOC_Os02g05900	Pavir.1KG051500, Pavir.1NG020900	Seita.1G085900	GRMZM2G165945
Sobic.004G044200	Bradi2g45757	LOC_Os01g47350	Pavir.5NG418800, Pavir.5KG422700	Seita.5G253900	GRMZM2G060156
Sobic.004G044250					
Sobic.004G044300	Bradi4g03197	LOC_Os05g15230, LOC_Os01g38190	Pavir.5KG346100, Pavir.5KG367500, Pavir.5KG367300		
Sobic.004G044401			Pavir.1KG054500	Seita.4G251600	
Sobic.004G044500	Bradi3g04198		Pavir.1KG051800, Pavir.1NG020700	Seita.1G085600	GRMZM2G104425
Sobic.004G044700	Bradi3g04227, Bradi3g04210, Bradi3g04217		Pavir.1KG052100	Seita.1G085500	
Sobic.004G044800	Bradi3g04227, Bradi3g04210, Bradi3g04217		Pavir.1KG052300	Seita.J023100, Seita.1G085300	GRMZM2G451007
Sobic.004G044900	Bradi1g68367, Bradi1g48041, Bradi4g13415, Bradi1g41684, Bradi2g47930	LOC_Os02g20780		Seita.3G147900	
Sobic.004G045000	Bradi3g04240		Pavir.1NG021200, Pavir.1KG052900, Pavir.J106200	Seita.1G084900, Seita.J022600, Seita.1G006900, Seita.1G007100	
Sobic.004G045100		LOC_Os02g06030, LOC_Os02g06120, LOC_Os02g06070, LOC_Os02g06090, LOC_Os02g06180	Pavir.1KG055500, Pavir.1KG055300	Seita.1G084600	GRMZM2G410963
Sobic.004G045200	Bradi3g04300, Bradi3g04280	LOC_Os02g06190	Pavir.1KG053000, Pavir.1KG052600, Pavir.1NG020500, Pavir.1KG055700	Seita.J023000, Seita.1G084200, Seita.1G083900, Seita.1G084500	GRMZM6G177089
Sobic.004G045300	Bradi1g17920		Pavir.7NG372900		GRMZM5G887054
Sobic.004G045400	Bradi2g17040		Pavir.5KG418400		GRMZM6G791392, GRMZM2G088880, GRMZM2G016928
Sobic.004G045500					
Sobic.004G045566					
Sobic.004G045632					
Sobic.004G045700			Pavir.1KG056000	Seita.1G082800	
Sobic.004G045800			Pavir.1KG054800	Seita.1G082300, Seita.1G086400	
Sobic.004G045900	Bradi3g04350	LOC_Os02g06250	Pavir.1KG054300, Pavir.8KG151100, Pavir.J714300	Seita.1G084100, Seita.1G085100, Seita.1G006800, Seita.1G084300	
Sobic.004G046001					
Sobic.004G046100	Bradi4g37470, Bradi4g37480	LOC_Os09g38239	Pavir.6KG291400, Pavir.6NG241600	Seita.6G170900	
Sobic.004G046200	Bradi4g37470, Bradi4g37480	LOC_Os09g38239	Pavir.6KG291400, Pavir.6NG241600	Seita.6G170900	
Sobic.004G046300					GRMZM2G468585
Sobic.004G046400	Bradi4g03320	LOC_Os02g06290	Pavir.1NG058100, Pavir.1KG054900	Seita.1G082100	GRMZM2G303374
Sobic.004G046500	Bradi3g04387	LOC_Os02g06300	Pavir.1NG058000, Pavir.1KG055000	Seita.1G082000	GRMZM2G003157
Sobic.004G046600	Bradi3g04395, Bradi3g04391	LOC_Os02g06320	Pavir.1KG056500, Pavir.1KG056600	Seita.1G081600	GRMZM2G351027
Sobic.004G046700	Bradi1g56660	LOC_Os07g06900			
Sobic.004G046800		LOC_Os01g03260, LOC_Os01g02960, LOC_Os01g02950, LOC_Os01g08650	Pavir.7NG358300, Pavir.7KG236200, Pavir.7NG357900	Seita.7G169900	
Sobic.004G046850		LOC_Os01g03260, LOC_Os01g02960, LOC_Os01g02950, LOC_Os01g08650	Pavir.7NG358300, Pavir.7KG236200, Pavir.7NG357900	Seita.7G169900	
Sobic.004G046900		LOC_Os01g03260, LOC_Os01g02960, LOC_Os01g02950, LOC_Os01g08650	Pavir.7NG358300, Pavir.7KG236200, Pavir.7NG357900		
Sobic.004G047001					
Sobic.004G047100	Bradi3g04420	LOC_Os02g06340	Pavir.1KG057200	Seita.1G081300	GRMZM2G052740
Sobic.004G047200	Bradi3g04430	LOC_Os06g47320	Pavir.1KG057300	Seita.4G254100, Seita.1G081200	GRMZM2G009871
Sobic.004G047300		LOC_Os02g12400	Pavir.9NG750300		GRMZM2G009770
Sobic.004G047400	Bradi3g04440	LOC_Os02g06360	Pavir.1KG062000, Pavir.1NG020000	Seita.1G081100	GRMZM2G012143, GRMZM2G011888
Sobic.004G047500	Bradi3g04450	LOC_Os02g06370	Pavir.1NG019900, Pavir.1KG062100	Seita.1G081000	GRMZM2G012262
Sobic.004G047600	Bradi3g04460	LOC_Os02g06380	Pavir.1KG062200	Seita.1G080900	GRMZM2G085513
Sobic.004G047700	Bradi3g04467	LOC_Os02g06390	Pavir.J146200, Pavir.1KG062300	Seita.1G080800	GRMZM2G085469
Sobic.004G047800	Bradi3g04480	LOC_Os02g06400	Pavir.1KG062400, Pavir.1NG019400	Seita.1G080700	
Sobic.004G047900	Bradi3g04490	LOC_Os02g06410	Pavir.1NG018000, Pavir.1NG019300, Pavir.1KG062500	Seita.1G080600	GRMZM5G897067
Sobic.004G048000	Bradi3g04500	LOC_Os02g06430	Pavir.1KG062600, Pavir.1NG019100	Seita.1G080500	GRMZM2G111304
Sobic.004G048100	Bradi3g04510	LOC_Os02g06440	Pavir.1KG062700, Pavir.1NG019000	Seita.1G080400	GRMZM2G111293
Sobic.004G048201		LOC_Os10g33104			GRMZM2G302990
Sobic.004G048300					
Sobic.004G048400					
Sobic.004G048500					AC199577.4_FGP004
Sobic.004G048600	Bradi3g04525, Bradi1g33240	LOC_Os02g06450	Pavir.4KG390300	Seita.1G080300	GRMZM2G177828
Sobic.004G048700	Bradi1g33190	LOC_Os02g06480	Pavir.1KG063000, Pavir.1NG018700	Seita.1G080200	GRMZM5G812923
Sobic.004G048800	Bradi3g04550	LOC_Os02g06500	Pavir.2NG364400, Pavir.1KG063100	Seita.1G080100	GRMZM2G024882
Sobic.004G048900	Bradi3g04554	LOC_Os02g06510	Pavir.1KG063400, Pavir.1NG018600	Seita.1G080000	GRMZM2G420010
Sobic.004G049000					
Sobic.004G049100	Bradi3g04560	LOC_Os02g06520	Pavir.1NG018500, Pavir.1KG063500	Seita.1G079900	GRMZM2G119932, GRMZM5G867030
Sobic.004G049200			Pavir.5KG149900, Pavir.5NG140500	Seita.8G062200	AC196278.2_FGP004
Sobic.004G049300	Bradi3g04580	LOC_Os02g06540	Pavir.1KG063900, Pavir.1NG017900	Seita.1G079800	GRMZM2G420004
Sobic.004G049400	Bradi3g04585	LOC_Os02g06560	Pavir.1NG017600	Seita.1G079500	GRMZM2G419994
Sobic.004G049500	Bradi3g04630	LOC_Os02g06570	Pavir.1NG017500	Seita.1G079400	GRMZM2G409658
Sobic.004G049600	Bradi3g04640	LOC_Os02g06580	Pavir.1KG064500, Pavir.1NG017400	Seita.1G079300	GRMZM2G111201
Sobic.004G049700	Bradi3g04650	LOC_Os02g06584	Pavir.1NG017200, Pavir.1KG065100, Pavir.1KG065000, Pavir.1NG017300	Seita.1G079200	GRMZM2G119640
Sobic.004G049800	Bradi3g04717	LOC_Os02g06630	Pavir.J020300, Pavir.1KG065300	Seita.1G079000	GRMZM2G419953
Sobic.004G049900	Bradi1g32700	LOC_Os05g42424	Pavir.1KG065600	Seita.2G110900	
Sobic.004G050000				Seita.4G265000	
Sobic.004G050100		LOC_Os02g06640		Seita.1G086300	
Sobic.004G050200	Bradi2g44480	LOC_Os01g44260	Pavir.5KG450100, Pavir.5NG271200	Seita.5G237900	GRMZM2G026930
Sobic.004G050300	Bradi4g00950	LOC_Os12g43590	Pavir.3NG267700	Seita.3G401400	GRMZM2G006144
Sobic.004G050400			Pavir.3KG074400, Pavir.3NG052600	Seita.3G086100	AC200143.3_FGP003, GRMZM5G889430, GRMZM2G312187, GRMZM5G818605, GRMZM5G855085, GRMZM2G434191
Sobic.004G050600	Bradi1g32850, Bradi3g04770	LOC_Os06g46754, LOC_Os02g06660	Pavir.1NG058700, Pavir.1KG066100	Seita.1G078600	GRMZM2G390350
Sobic.004G050700	Bradi3g04773		Pavir.1NG058800, Pavir.1KG066200	Seita.1G078500	GRMZM2G167578, GRMZM2G362607
Sobic.004G050800		LOC_Os07g36290, LOC_Os07g36280, LOC_Os07g36300	Pavir.2KG469500, Pavir.2KG517300, Pavir.2NG537700		
Sobic.004G050900	Bradi3g11042	LOC_Os07g36520		Seita.2G345100	
Sobic.004G051000	Bradi3g04777		Pavir.1KG066300	Seita.1G078400	GRMZM2G101872
Sobic.004G051100	Bradi3g04800		Pavir.1KG066500, Pavir.1NG059200	Seita.1G078200	GRMZM2G443332, GRMZM2G101818
Sobic.004G051133			Pavir.1KG066700, Pavir.1NG059400		
Sobic.004G051166					
Sobic.004G051200	Bradi3g04840		Pavir.1KG066800, Pavir.1NG059500	Seita.1G078000	
Sobic.004G051300	Bradi3g04860	LOC_Os02g06840	Pavir.1KG067000, Pavir.1NG059800	Seita.1G077800	GRMZM2G132866
Sobic.004G051401	Bradi3g04871	LOC_Os02g06850	Pavir.1NG059900, Pavir.1KG067100		GRMZM2G132862
Sobic.004G051500	Bradi3g04880	LOC_Os02g06860	Pavir.6KG163800, Pavir.4KG054200	Seita.4G238000, Seita.1G077600	GRMZM2G073357
Sobic.004G051600	Bradi3g04890	LOC_Os02g06880	Pavir.1NG060000, Pavir.1KG067200	Seita.1G077500	GRMZM2G087226
Sobic.004G051700	Bradi3g04900	LOC_Os02g06890	Pavir.1KG067300, Pavir.1NG060300	Seita.1G077400, Seita.1G077300	GRMZM2G132854
Sobic.004G051800					
Sobic.004G051900	Bradi3g04920	LOC_Os02g06910	Pavir.1KG067400, Pavir.1NG060500	Seita.1G077200	GRMZM2G028980
Sobic.004G052000	Bradi3g04940	LOC_Os02g06930	Pavir.1KG067500, Pavir.1NG060600	Seita.1G077100	GRMZM2G169020
Sobic.004G052100					
Sobic.004G052200	Bradi3g04947	LOC_Os02g06960	Pavir.1KG067800	Seita.1G076900	GRMZM2G158520
Sobic.004G052300					GRMZM2G459142
Sobic.004G052401					
Sobic.004G052500				Seita.1G036400, Seita.1G036500, Seita.J030400	
Sobic.004G052600					
Sobic.004G052700			Pavir.J699400, Pavir.2NG090100		
Sobic.004G052800	Bradi3g04960	LOC_Os02g07030	Pavir.1KG069000, Pavir.1NG061500	Seita.1G076300	GRMZM2G087267
Sobic.004G052900	Bradi3g04970	LOC_Os02g07040	Pavir.1KG069400	Seita.1G076200, Seita.9G070300	GRMZM2G032280
Sobic.004G053000	Bradi3g04987, Bradi3g04981	LOC_Os02g07044	Pavir.1KG069600, Pavir.1NG061600	Seita.1G076100	GRMZM2G168888
Sobic.004G053100	Bradi3g05000	LOC_Os02g07050	Pavir.1NG061700, Pavir.1KG069700	Seita.1G076000	GRMZM2G087495
Sobic.004G053200			Pavir.1KG069800	Seita.1G075900	GRMZM2G387127
Sobic.004G053300	Bradi1g32430	LOC_Os06g46000			
Sobic.004G053400	Bradi3g05020	LOC_Os02g07110	Pavir.1NG062600, Pavir.1KG070200	Seita.1G075600, Seita.8G030600	GRMZM2G050080, GRMZM2G471304
Sobic.004G053500	Bradi1g17710	LOC_Os02g07120	Pavir.1NG062700, Pavir.1KG070300	Seita.1G075500	GRMZM2G168629
Sobic.004G053600	Bradi3g05050	LOC_Os02g07150	Pavir.1NG062800, Pavir.1KG070400	Seita.1G075400	GRMZM2G088235
Sobic.004G053700	Bradi3g05060	LOC_Os02g07160	Pavir.1KG070600, Pavir.1NG063100	Seita.1G075300, Seita.1G074800	GRMZM2G088396
Sobic.004G053800					
Sobic.004G053900	Bradi3g05100	LOC_Os02g07180	Pavir.1NG098100, Pavir.1NG063200, Pavir.1KG070700	Seita.1G074700	GRMZM2G041310
Sobic.004G054000	Bradi3g05110	LOC_Os02g07190	Pavir.1KG070900, Pavir.1NG063300	Seita.1G074200	GRMZM2G322129
Sobic.004G054100	Bradi3g05130	LOC_Os02g07200	Pavir.1NG063400, Pavir.1KG071200	Seita.1G074100	GRMZM2G017741, GRMZM2G014955
Sobic.004G054200	Bradi5g00710	LOC_Os04g08764	Pavir.7KG094200, Pavir.7NG059900	Seita.7G022400	GRMZM2G172695
Sobic.004G054300	Bradi3g05140	LOC_Os06g45850, LOC_Os02g07210	Pavir.1NG063600, Pavir.1KG071300	Seita.1G074000	GRMZM2G074634
Sobic.004G054400	Bradi3g05150	LOC_Os02g07220	Pavir.1NG063800, Pavir.1KG071400	Seita.1G073900	GRMZM2G041060
Sobic.004G054500	Bradi3g05160	LOC_Os02g07230	Pavir.1NG064000	Seita.1G073800	GRMZM2G041159, GRMZM2G026117
Sobic.004G054600					
Sobic.004G054700	Bradi3g05170	LOC_Os02g07240	Pavir.1KG071700, Pavir.1NG064100	Seita.1G073700	GRMZM2G005998
Sobic.004G054900		LOC_Os05g40800, LOC_Os05g39140	Pavir.1KG017500	Seita.9G444300	
Sobic.004G055000	Bradi3g05210	LOC_Os02g07250	Pavir.1KG071900, Pavir.1NG064400	Seita.1G073600	GRMZM2G128012
Sobic.004G055100	Bradi1g60160	LOC_Os07g42170	Pavir.1KG072000, Pavir.1NG064500	Seita.1G073500	GRMZM2G427468
Sobic.004G055200		LOC_Os02g07260			
Sobic.004G055300					
Sobic.004G055400					
Sobic.004G055500	Bradi3g05226	LOC_Os02g07350	Pavir.1KG072300	Seita.1G073100	GRMZM2G051276
Sobic.004G055600	Bradi3g05233	LOC_Os02g07360	Pavir.1KG072400	Seita.1G073000	GRMZM2G007372
Sobic.004G055700	Bradi3g05240	LOC_Os02g07410, LOC_Os06g45670	Pavir.1NG065300, Pavir.1KG072600	Seita.1G072700	GRMZM2G010321, GRMZM2G051208
Sobic.004G055800	Bradi3g05247	LOC_Os02g07420	Pavir.1NG065400, Pavir.1KG072700	Seita.1G072600	GRMZM2G055155, GRMZM2G010754
Sobic.004G055901		LOC_Os06g42890	Pavir.5KG238900, Pavir.5KG113600, Pavir.6NG014400, Pavir.9NG287000, Pavir.9KG052200, Pavir.5KG624400, Pavir.8KG357000, Pavir.2NG557100, Pavir.7NG099800, Pavir.7NG300200, Pavir.9NG402300, Pavir.4NG107400, Pavir.9KG414400		
Sobic.004G056000	Bradi3g05260	LOC_Os02g07430	Pavir.1NG065500, Pavir.1KG072900	Seita.1G072200	
Sobic.004G056100	Bradi4g20680, Bradi2g36776, Bradi2g12395	LOC_Os01g34860, LOC_Os06g48790, LOC_Os03g49070, LOC_Os03g49126, LOC_Os06g15440	Pavir.1NG065000, Pavir.9NG294000, Pavir.9NG034500, Pavir.9NG212500, Pavir.9NG034600, Pavir.4NG213200, Pavir.4KG303300	Seita.1G072900, Seita.9G172400, Seita.1G072000	
Sobic.004G056201	Bradi3g05280	LOC_Os02g07460	Pavir.1NG065800	Seita.1G071800	GRMZM2G303241
Sobic.004G056300	Bradi3g05286	LOC_Os02g07480	Pavir.1KG074400, Pavir.1KG073600, Pavir.1NG065900	Seita.1G071700	GRMZM2G351747
Sobic.004G056350					
Sobic.004G056400	Bradi3g05300	LOC_Os02g07490	Pavir.1NG066000, Pavir.1KG074500, Pavir.1KG073700	Seita.1G071600	GRMZM2G104632, GRMZM2G051004
Sobic.004G056500				Seita.1G071500	GRMZM2G043816
Sobic.004G056600					
Sobic.004G056700	Bradi1g74506, Bradi1g20395		Pavir.1KG073800, Pavir.1KG074600, Pavir.1NG066100, Pavir.1NG066300	Seita.1G071400	GRMZM2G023191, GRMZM2G163679, GRMZM2G142967, GRMZM2G029926, GRMZM2G165083, GRMZM2G179854, GRMZM2G050994, AC209356.4_FGP001, GRMZM2G097084
Sobic.004G056800		LOC_Os02g07550	Pavir.1NG066500, Pavir.1KG074700, Pavir.1KG073900, Pavir.1NG066200	Seita.1G071300	
Sobic.004G056900	Bradi1g42670	LOC_Os06g21590	Pavir.4KG143300, Pavir.4NG135800	Seita.4G139900	GRMZM2G036880, GRMZM2G092311
Sobic.004G057000	Bradi2g32560, Bradi2g06850	LOC_Os05g11860, LOC_Os01g11490	Pavir.3NG039600, Pavir.3KG087700	Seita.3G074900	GRMZM2G433908
Sobic.004G057100	Bradi2g39750	LOC_Os05g01500	Pavir.5KG271600, Pavir.9NG822600, Pavir.3KG094800	Seita.3G070300	GRMZM2G060857
Sobic.004G057200	Bradi3g21370	LOC_Os05g01510	Pavir.5KG271700, Pavir.9NG822500, Pavir.3KG094900	Seita.3G070200	GRMZM2G115342
Sobic.004G057300	Bradi1g04490, Bradi1g04503, Bradi1g04390, Bradi1g04348	LOC_Os01g66670	Pavir.J499500, Pavir.9NG092500, Pavir.9NG092400	Seita.9G140800	
Sobic.004G057400	Bradi3g05340	LOC_Os02g07630	Pavir.1NG066800	Seita.1G070900	GRMZM2G010152
Sobic.004G057500					
Sobic.004G057700	Bradi3g05380	LOC_Os02g07650	Pavir.1KG075400, Pavir.1NG067000	Seita.1G070800	GRMZM2G017882
Sobic.004G057800	Bradi3g05390	LOC_Os02g07670	Pavir.1NG067200, Pavir.1KG075500	Seita.1G070700	GRMZM2G063452, GRMZM2G059124
Sobic.004G057900	Bradi3g05400	LOC_Os02g07680	Pavir.1NG067300	Seita.1G070400	GRMZM2G010221
Sobic.004G058000	Bradi3g05410	LOC_Os02g07690	Pavir.1KG075700, Pavir.1NG067400	Seita.1G070200	AC207043.3_FGP002
Sobic.004G058050			Pavir.2KG499700		
Sobic.004G058100					
Sobic.004G058200	Bradi3g05420	LOC_Os02g07720	Pavir.1KG075800, Pavir.1NG067500	Seita.1G069900	GRMZM2G085926
Sobic.004G058300		LOC_Os02g07730	Pavir.1NG067600, Pavir.1KG076000	Seita.1G069800	
Sobic.004G058400	Bradi3g05437	LOC_Os02g07740	Pavir.1NG067800, Pavir.1KG076100	Seita.1G069700	GRMZM2G180218, GRMZM2G082683
Sobic.004G058500	Bradi3g05450	LOC_Os02g07750	Pavir.1KG076200	Seita.1G069600	GRMZM2G180211, GRMZM2G003988
Sobic.004G058600	Bradi3g05490	LOC_Os02g07760	Pavir.1NG068400	Seita.1G069500	GRMZM2G128114, GRMZM2G119482
Sobic.004G058700	Bradi3g05500	LOC_Os02g07770	Pavir.1NG068100, Pavir.1KG076400	Seita.1G069400	GRMZM2G052544
Sobic.004G058800					
Sobic.004G058900	Bradi3g05510	LOC_Os06g45310, LOC_Os02g07780	Pavir.1NG068600, Pavir.1KG076500	Seita.1G069300	GRMZM2G126827, GRMZM2G156621, GRMZM2G163813
